問題,回答群１,回答群２,回答群３,回答群４,回答群５,回答群６,回答群７,回答群８,回答群９,正解
"""法令で規定されているガス事業法の目的に関する次の記述について、(イ)〜(ホ)の語句のうち、正しいものはいくつあるか 
この法律は、「(イ)国の関与を最小限に」することによって、「(ロ)ガス事業者の自主保安体制を確立」し、及びガス事業の健全な発達を図るとともに、「(ハ) ガス主任技術者」並びに「(ニ)保安規程」によって、公共の安全を確保し、あわせて「(ホ)公害の防止」を図ることを目的とする。""",1,2,3,4,5,,,,,1
法令で規定されているガス小売事業者が行う供給条件の説明、熱量等の測定、及び成分の検査に関する次の記述のうち、誤っているものはどれか。,ガス小売事業者は、小売供給を受けようとする者と小売供給契約の締結をしようとするときは、経済産業省令で定めるところにより、当該小売供給に係る料金その他の供給条件について、経済産業大臣に届け出なければならない。,ガス小売事業者は、経済産業省令で定めるところにより、その供給するガスの熱量、圧力及び燃焼性を測定し、その結果を記録し、これを保存しなければならない。,特定ガス発生設備に係る場合にあっては、供給するガスの燃焼性を測定することを要しない。,ガス小売事業者は、経済産業省令で定めるところにより、その供給するガスの成分のうち、人体に危害を及ぼし、又は物件に損傷を与えるおそれがあるものの量が経済産業省令で定める数量を超えていないかどうかを検査し、その量を記録し、これを保存しなければならない。,天然ガスを主成分とするガスにあっては、硫黄全量、硫化水素及びアンモニアの成分検査を要しない。,,,,,ガス小売事業者は、小売供給を受けようとする者と小売供給契約の締結をしようとするときは、経済産業省令で定めるところにより、当該小売供給に係る料金その他の供給条件について、経済産業大臣に届け出なければならない。
"""次のガス事故のうち、ガス事故速報を報告することが法令で規定されている事故に、いずれも該当しないものの組合せはどれか。
ただし、台風、高潮、洪水、津波、地震その他の自然災害又は火災による広範囲の地域にわたるガス工作物の損壊事故、製造支障事故又は供給支障事故であって、経済産業大臣が指定するものを除く。

イ　ガス工作物(ガス栓を除く。)の損傷により人が負傷した事故

口　製造支障事故であって、製造支障時間が6時間のもの

ハ　供給支障事故であって、供給支障戸数が500のもの

二　最高使用圧力が低圧の主要なガス工作物(ガス栓を除く。)の損壊事故

ホ　ガス栓の損壊によりガス栓から漏えいしたガスに引火することにより、発生した負傷事故""",イ、ロ,イ、ハ,ロ、ニ,ハ、ホ,ニ、ホ,,,,,ロ、ニ
"""法令で規定されているガス主任技術者に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

イ　ガス工作物の設置の工事であって、経済産業省令で定める工事に従事する者は、ガス主任技術者でなければならない。

ロ　一般ガス導管事業者は、ガス主任技術者を選任するときは、事前にその旨を経済産業大臣に届け出なければならない。これを解任するときも、同様とする。

ハ　ガス主任技術者試験は、ガス工作物の工事、維持及び運用に関する保安に関して必要な知識及び技能について行う。

ニ　ガス主任技術者は、誠実にその職務を行わなければならない。

ホ　経済産業大臣は、ガス主任技術者がこの法律に違反したときは、一般ガス導管事業者に対し、ガス主任技術者の解任を命ずることができる。""",イ、ロ,イ、ニ,口、ハ,ハ、ホ,二、ホ,,,,,イ、ロ
"""法令で規定されている工事計画及び使用前検査に関する次の記述について、(イ)～(ホ)にあてはまる語句の組合せとして最も適切なものはどれか。

ガス製造事業者は、ガス製造事業の用に供するガス工作物の設置又は　（イ）　の工事であって、経済産業省令で定めるものをしようとするときは、その工事の計画を経済産業大臣に届け出なければならない。
ガス製造事業者は、経済産業省令で定めるものの工事について自主検査を行い、その結果について　（ロ）　が行う検査を受け、これに合格した後でなければ、これを使用してはならない。ただし、ガス工作物を　（ハ）　に使用する場合(そのガス工作物に係るガスを使用者に供給する場合にあっては、当該ガス工作物の使用の方法を変更するごとにガスの　（二）　を測定して供給する場合に限る。)は、この限りでない。
ガス製造事業者は、経済産業省令で定めるところにより、自主検査の記録を作成し、これを　（ホ）　年間保存しなければならない。""",（イ）改造　　（ロ）経済産業大臣　　（ハ）試験のため　　（二）燃焼性　　（ホ）３,（イ）変更　　（ロ）登録ガス工作物検査機関　　（ハ）試験のため　　（二）熱量等　　（ホ）５,（イ）変更　　（ロ）経済産業大臣　　（ハ）緊急時　　（二）熱量等　　（ホ）３,（イ）変更　　（ロ）経済産業大臣　　（ハ）試験のため　　（二）燃焼性　　（ホ）５,（イ）改造　　（ロ）登録ガス工作物検査機関　　（ハ）緊急時　　（二）熱量等　　（ホ）３,,,,,（イ）変更　　（ロ）登録ガス工作物検査機関　　（ハ）試験のため　　（二）熱量等　　（ホ）５
"""ガス工作物及び保安物件に関する次の記述のうち、いずれも技術基準で規定されているものの組合せはどれか。ただし、ガス工作物は、不活性のガス(空気を含む。)又は不活性の液化ガスのみを通ずるものではない。

（イ）　ガス発生器及び増熱器は、その製造所の敷地境界から保安物件に対し告示で定める距離を有しなければならない。

（ロ）　劇場、映画館、演芸場、公会堂その他これらに類する施設であって、収容定員300人以上のもの(事業場の存する敷地と同一敷地内にあるものを除く。)は、第1種保安物件に該当する。

（ハ）　ガスの種類、ガス工作物の状況、周囲の状況等の理由によりあらかじめ経済産業大臣に届け出た場合は、告示で定める距離を有しないでガス工作物を施設することができる。

（二）　製造所には、液化ガスを通ずるガス工作物から漏えいしたガスが滞留するおそれのある製造所内の適当な場所に、当該ガスの漏えいを適切に検知し、かつ、警報する設備を設けなければならない。

（ホ）　ガス発生設備及び附帯設備であって製造設備に属するものの液化ガスを通ずる部分は、液化ガスを廃棄できる構造でなければならない。""",イ、ハ,イ、ホ,ロ、ハ,口、二,二、ホ,,,,,口、二
"""技術基準で「ガス工作物のうち、耐圧部分及び液化ガスを通ずる部分は、適切な方法により耐圧試験を行ったときにこれに耐えるものでなければならない。」と規定されている。次のガス工作物のうち、耐圧試験が不要なものはいくつあるか。

イ　液化ガス用ポンプ

ロ　昇圧供給装置

ハ　整圧器

ニ　溶接により接合された海底に設置される導管であって、非破壊試験を行ったときこれに合格したもの

ホ　最高使用圧力が中圧の導管であってそれらの継手部と同一材料、同一寸法及び同一施工方法で接合された試験のための管について、適切な機械試験により確認されたもの""",1,2,3,4,5,,,,,3
技術基準で規定されているガス工作物に関する次の記述のうち、誤っているものはどれか。,製造設備を安全に停止させるのに必要な装置その他の製造所及び供給所の保安上重要な設備には、停電等により当該設備の機能が失われることのないよう適切な措置を講じなければならない。,移動式ガス発生設備には、設備の損傷を防止するため使用の状態を計測又は確認できる適切な措置が講じられていなければならない。,製造所に設置する遮断装置には、誤操作を防止し、かつ、確実に操作することができる措置を講じなければならない。,特定事業所に設置する液化ガスを通ずるガス工作物に係る計装回路には、当該設備の態様に応じ、保安上重要な箇所に、適切なインターロック機構を設けなければならない。,ガスホルダーであって、凝縮液により機能の低下又は損傷のおそれがあるものには、ガスホルダーの凝縮液を気化する装置を設けなければならない。,,,,,ガスホルダーであって、凝縮液により機能の低下又は損傷のおそれがあるものには、ガスホルダーの凝縮液を気化する装置を設けなければならない。
"”技術基準で規定されているガス発生設備に関する次の記述のうち、誤っているものはいくつあるか。

・最高使用圧力が低圧の移動式ガス発生設備であって過圧が生ずるおそれのあるものには、その圧力を逃がすために適切な圧力上昇防止装置を設けなければならない。

・移動式ガス発生設備は、ガスが漏えいした場合の火災等の発生を防止するため、適切な場所に設置し、容易に移動又は転倒しないように適切な措置が講じられていなければならない。

・ガスの通ずる部分に直接液体を送入する装置を有する製造設備 (移動式ガス発生設備を含む。)は、送入部分を通じてガスが逆流することによる設備の損傷又はガスの大気への放出を防止するため逆流が生じない構造のものでなければならない。

・気化装置又はそれに接続される配管等には、気化装置から液化ガスの流出を防止する措置を講じなければならない。ただし、気化装置からの液化ガスの流出を考慮した設計である場合は、この限りでない。

・容器に附属する気化装置内においてガスを発生させる特定ガス発生設備であって当該気化装置を電源によって操作するものは、自家発電機その他の操作用電源が停止した際にガスの供給を速やかに停止するための装置を設けなければならない。”",1,2,3,4,5,,,,,2
"""技術基準で規定されている導管及びガスメーターに関する次の記述のうち、いずれも誤っているものの組合せはどれか。

（イ）　導管には、設置された状況により腐食を生ずるおそれがある場合にあっては、当該導管の腐食を防止するための適切な措置を講じなければならない。

（ロ）　導管(最高使用圧力が低圧の導管であって、内径が100mm未満のものを除く。)であって、道路の路面に露出しているものは、車両の接触その他の衝撃による振動を軽減するための措置を講じなければならない。

（ハ）　道路に埋設される本支管(最高使用圧力が5kPa以上のポリエチレン管に限る。)には、掘削等による損傷を防止するための適切な措置を講じなければならない。

（二）　ガスの使用場所である地下室等にガスを供給する導管には、その地下室等の付近の適切な場所に、危急の場合に当該地下室等へのガスの供給を地上から速やかに遮断することができる適切な装置を設けなければならない。

（ホ）　ガス事業者がガスの使用者との取引のために使用するガスメーター(使用最大流量が毎時16m2以下、使用最大圧力が4kPa以下及び口径250mm以下のものに限る。)は、ガスが流入している状態において、災害の発生のおそれのある大きさの地震動、長時間にわたるガスの継続使用又は異常なガス圧力の低下を検知した場合に、ガスを速やかに遮断する機能を 有するものでなければならない。""",イ、ロ,イ、ハ,ロ、ホ,ハ、二,二、ホ,,,,,ロ、ホ
"""技術基準で規定されている導管の漏えい検査に関する次の記述のうち、漏えい検査の対象 から除外されているものはいくつあるか。ただし、導管は、道路に埋設されている導管からガス栓までに設置されており、特定地下室等にガスを供給する導管とする。
（イ）　適切な漏えい検知装置が適切な方法により設置されている場合(当該装置が漏えいを検知することができる部分に限る。)

（ロ）　導管が設置されている場所に立ち入ることにつき、その所有者又は占有者の承諾を得ることができない場合

（ハ）　屋外において、埋設されていない部分がある場合(当該埋設されていない部分に限る。 

（ニ）　ポリエチレン管を使用している場合(当該使用している部分に限る。)

（ホ）　導管に絶縁措置が講じられており当該絶縁措置が講じられた部分からガス栓までの間でプラスチックにて被覆された部分""",1,2,3,4,5,,,,,4
技術基準に規定されているガス事業者の掘削により周囲が露出することとなった導管の防 護の基準、 昇圧供給装置及び整圧器に関する次の記述のうち、誤っているものはどれか。,露出している部分がガスの供給の用に供されている導管の印ろう型接合による接合部には、漏えいを防止する適切な措置を講ずること。,露出している部分がガスの供給の用に供されている直管以外の管の接合部であって、特定接合又は告示で定める規格に適合する接合以外の方法によって接合されているものには、抜出しを防止する適切な措置を講ずること。,導管(最高使用圧力が低圧の導管であって、内径が100mm未満のものを除く。)であって、露出している部分の長さが100m以上であり、かつ、当該部分がガスの供給の用に供されているものについては、危急の場合に当該部分に流入するガスを速やかに遮断することができる適切な措置を講ずること。,昇圧供給装置には、当該装置の運転異常又は当該装置の取扱いにより障害を生じないよう、適切な措置を講じなければならない。,一の使用者にガスを供給するための整圧器には、ガスの圧力が異常に低下した場合に供給を維持する装置を設けること。,,,,,一の使用者にガスを供給するための整圧器には、ガスの圧力が異常に低下した場合に供給を維持する装置を設けること。
法令で規定されているガス用品等に関する次の記述のうち、誤っているものはどれか。,「特定ガス用品」とは、構造、使用条件、使用状況等からみて特にガスによる災害の発生のおそれが多いと認められるガス用品であって、政令で定めるものをいう。,ガス用品の製造又は輸入の事業を行う者は、経済産業省令で定めるガス用品の型式の区分を経済産業大臣に申請し認められなければならない。,届出事業者は、届出に係る型式のガス用品を試験用に製造又は輸入する場合においては、経済産業省令で定める技術上の基準に適合することを要しない。,届出事業者は、その届出に係る型式のガス用品の経済産業省令で定める技術上の基準に対する適合性について、規定による義務を履行したときは、当該ガス用品に経済産業省令で定めるところにより、表示を付することができる。,ガス用品が経済産業省令で定める技術上の基準に適合していない場合において、災害の発 生を防止するため特に必要があると認めるとき、経済産業大臣は届出事業者に対し、1年以内の期間を定めて届出に係る型式のガス用品に表示を付することを禁止することができる。,,,,,ガス用品の製造又は輸入の事業を行う者は、経済産業省令で定めるガス用品の型式の区分を経済産業大臣に申請し認められなければならない。
"""法令で規定されている保安業務規程に関する記述のうち、いずれも誤っているものの組合せはどれか。

（イ）　ガス小売事業者は、経済産業省令で定めるところにより、保安業務規程を定め、その事業の開始前に、経済産業大臣に届け出なければならない。

（ロ）　ガス小売事業者は、保安業務規程を変更したときは、遅滞なく、変更した事項を経済産業大臣に届け出なければならない。

（ハ）　経済産業大臣は、保安業務の適正な実施を確保するため必要があると認めるときは、ガス小売事業者に対し、保安業務規程を変更すべきことを命ずることができる。

（ニ）　ガス小売事業者及びその従業者は、保安業務規程を守らなければならない。ただし、災害その他非常の場合であって、ガス小売事業者及びその従業者が行う安全の確保及び応急措置については、この限りでない。
（ホ）　ガス小売事業者が定める保安業務規程には、保安業務を管理する事業場ごとのガス主任技術者の選任に関することを定めなければならない。""",イ、ハ,イ、ニ,ロ、ハ,口、ホ,二、ホ,,,,,二、ホ
"""法令で規定されている消費機器の技術上の基準に関する次の記述のうち、正しいものはいくつあるか。

（イ）　ガスの消費量が7kWの屋内に設置するガス衣類乾燥機で、密閉燃焼式でないものには、当該燃焼器に接続して排気筒を設けること。

（ロ）　排気扇を接続している自然排気式の燃焼器の排気筒の有効断面積は、当該燃焼器の排気部との接続部の有効断面積より小さくないこと。

（ハ）　強制排気式の燃焼器の排気筒が外壁を貫通する箇所には、当該排気筒と外壁との間に排気ガスが屋内に流れ込む隙間がないこと。

（ニ）　燃焼器の排気筒に接続する排気扇には、これが停止した場合に当該燃焼器へのガスの供給を自動的に遮断する装置を設けること。

（ホ）　燃焼器であって、建物区分のうち特定地下街等に設置するものには、告示で定める規格に適合する自動ガス遮断装置を告示で定める方法により設けること。""",1,2,3,4,5,,,,,2
"""「ガス事業法」及び「特定ガス消費機器の設置工事の監督に関する法律」に関する次の記述について、（１）～（５）の語句のうち、正しいものはどれか。
消費機器の設置又は変更の工事は、「（１）ガス用品」の技術上の基準に適合するようにしなければならない。

「特定ガス消費機器」とは、「（２）製造年月日」・使用状況等からみて設置又は変更の工事の欠陥に係るガスによる災害の発生のおそれが多いと認められる消費機器であって、政令で定めるものをいう。

「特定工事」とは、特定ガス消費機器の設置又は変更の工事をいう。 

特定工事事業者は、特定工事を施工するときは、技術上の基準に適合することを確保するため、「（３） 保安業務監督者に選任されている」者に「（４）実地に監督」させなければならない。

特定工事事業者は、特定工事を施工したときは、当該特定工事に係る特定ガス消費機器の見やすい場所に、氏名又は名称、「（５）主要材料」その他の経済産業省令で定める事項を記載した表示を付さなければならない。""",1,2,3,4,5,,,,,4
温度27°C、圧力100kPa、体積 25㎥のメタンの質量(kg)として最も近い値はどれか。ただし、メタンは理想気体とし、気体定数R=8.3J/(mol・K)とする。,1,11,16,176,187,,,,,16
真空にした容器にプロパン44g、窒素28gを入れたところ、全圧が300kPaの混合気体となった。プロパンの分圧(kPa)として最も近い値はどれか。,50,100,150,200,250,,,,,150
外気圧100kPaとつり合っているシリンダ内の気体0.5㎥に熱を加え、定圧膨張させた。このときに気体がした仕事は150kJであった。膨張後の気体の体積(㎥)として最も近い値はどれか。,0.6,1,1.5,2,3,,,,,2
容積一定の断熱容器に入れた温度300Kの空気に、10.5kJの熱を加えると、空気の温度は330Kとなった。 このときの空気の質量(kg)として最も近い値はどれか。ただし、空気の定積比熱容量はC=0.7kJ/(kg・K)とする。,0.5,2,2.5,4.5,6,,,,,0.5
化学反応及び電気化学反応に関する次の記述のうち、誤っているものはどれか。,体積及び温度一定条件の下で化学反応が起こったとき、生成系の内部エネルギーのほうが反応系の内部エネルギーよりも低い場合、発熱反応になる。,温度一定条件で、化学反応に伴い発生する、若しくは吸収される熱のことを反応熱という。,化学反応における触媒の役割は、反応熱を大きくすることである。,電気化学反応の特徴は、化学反応を電子の授受を介して行わせることである。,燃料電池の電極間電位差は、取り出す電流を増加させる場合に小さくなる。,,,,,化学反応における触媒の役割は、反応熱を大きくすることである。
CO(g)　+　 H₂O (g)　=　CO₂(g)　+　H₂(g)　-　Q　は右方向へは発熱反応である。この反応の平衡に関する次の記述のうち、誤っているものはどれか。ただし、Qは反応熱である。,CO₂ の分圧を増加させると左方向へ反応が進む。,圧力を上げると左方向へ反応が進む。,温度を下げると右方向へ反応が進む。,水蒸気(H₂O)を増加させると右方向へ反応が進む。,この反応において、触媒は化学平衡状態に影響を与えない。,,,,,圧力を上げると左方向へ反応が進む。
メタン1㎥と水素2㎥の混合ガスを完全燃焼させるのに必要な最低空気量(㎥)として最も近い値はどれか。ただし、混合ガスは標準状態(0℃、101325Pa)とし、空気中の窒素と酸素の体積比は4:1とする。,15,20,25,30,50,,,,,15
メタン79vol%、プロパン21vol%の混合ガスの空気中における燃焼下限界(vol%)として最も近い値はどれか。ただし、単体ガスの燃焼下限界は、メタン5.0vol%、プロパン2.1vol%とする。,2.1,2.9,3.5,3.9,4.4,,,,,3.9
可燃性ガスに関する次の記述のうち、誤っているものはどれか。,空気や酸素等と混合した状態で着火すると爆発を起こすことがある。,温度を低くすると、燃焼範囲は広くなる。,爆燃や爆ごうは、空気や酸素と混合する濃度範囲により起こらない場合がある。,爆発は、伝播速度が亜音速の爆燃と、超音速の爆ごうに分類される。,爆ごうは、衝撃波を伴うため、衝突した物体に機械的破壊作用を与える。,,,,,温度を低くすると、燃焼範囲は広くなる。
内径100mmの直円管内を流体が質量流量6kg/sで流れているときの平均流速(m/s)として最も近い値はどれか。ただし、流体の密度は400kg/㎥とする,0.2,0.5,1,1.5,2,,,,,2
管内の流れに関する次の記述のうち、誤っているものはどれか。,流体の粘性は、圧力損失の原因となる。,内径が縮小する部分では、圧力損失が大きく生じる。,オリフィスメーターを用いると、配管内の平均流速を測定することができる。,ピトー管を用いると、配管内のある1点の流速を測定することができる。,急拡大管(ディフューザ)の機能は、下流で圧力を急激に低下させるものである。,,,,,急拡大管(ディフューザ)の機能は、下流で圧力を急激に低下させるものである。
平均熱伝導率0.2W/(m・K)で厚さ0.1mの平板壁の高温側表面温度が300℃、低温側表面温度が50℃であった。このとき平板壁を通過する熱流束 (W/㎡)として最も近い値はどれか。,125,150,250,500,600,,,,,500
熱交換器において高温流体の入口温度が300℃で出口温度が150℃であった。低温流体の入口温度は50℃であった。このときの高温流体の温度効率(%)として最も近い値はどれか。,25,40,50,60,83,,,,,60
材料の力学的性質に関する次の記述のうち、誤っているものはどれか。,応力にともなって生ずる変形量の変形前長さに対する割合をひずみという。,比例限度以下の応力では、材料のひずみは応力の大きさに比例する。,薄肉円筒の内圧 (円筒外部との圧力差)による円周応力は、軸応力の2倍である。,安全係数(安全率)が大きいほど、安全に対し余裕がある設計となっている。,外力を取り去ると元に戻る変形を塑性変形という。,,,,,外力を取り去ると元に戻る変形を塑性変形という。
高分子材料の一般的な性質に関する次の記述のうち、誤っているものはどれか。,紫外線を吸収すると、分解することがある。,クリープは、常温では発生しない。,金属材料に比べて、比重が小さい。,金属材料に比べて、熱伝導率が小さい。,応力ひずみ線図では、軟鋼のような明瞭な降伏点が見られない場合がある。,,,,,クリープは、常温では発生しない。
"""都市ガスの原料及びその取り扱いに関する次の記述のうち、いずれも誤っているものの組合せはどれか。

（イ）　LNGは貯蔵中に外部からの入熱により沸点の低いメタンを主とするボイルオフガス(BOG)が発生するため、メタン以外の成分の濃度が高まる。これを濃縮と呼ぶ。

（口）　LNGが漏えいし、大気中に気化、拡散したとき、燃焼範囲内の濃度にある混合気が、火気に接すると着火する。拡散ガスに着火すると、火炎が伝播し液表面での燃焼となる。これをプール燃焼という。

（ハ）　シェールガスとは、主に砂岩層が貯留層となっている従来のガス田ではなく、泥岩(頁岩)層に含まれる非在来型天然ガスの一種である。

（二）LNGの受入配管等では、外部からの入熱により過熱状態になっている場合、弁の開放等により圧力が急激に減少し、LNGの一部が気化され、鉛直配管部では液・気相間の急激な相転移が連続的に生じる。これによって発生する配管の振動現象をウォーターハンマーという。

（ホ）　LPG中にH₂S等の硫黄化合物が含まれていないことが求められる。これは、LPG貯蔵タンクの材料として高張力鋼が使用される場合が多いが、溶着金属部、熱影響部等に粒界腐食が発生する可能性があるためである。""",イ、ハ,イ、ホ,口、ハ,口、ニ,二、ホ,,,,,二、ホ
"""都市ガスの製造設備に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

（イ）　PC式平底円筒形貯槽は、金属二重殼式貯槽と防液堤を一体化した貯槽であり、内槽と外槽の間の空間には、外部入熱を防ぐため断熱材(パーライト)が充てんされ、断熱効果を高めるため高度の真空状態に保たれている。

（ロ）　斜流ポンプは、遠心力と羽根の揚力によって液体に圧力を与えるものである。

（ハ）　ポンプの性能曲線図は、ポンプの規定回転数における吐出量、全揚程、ポンプ効率、軸動力等の関係を示すものである。

（二）　LPGポンプは、LNG1次受入基地等では遠心式サブマージドポンプ、LNG2次受入基地やLNGサテライト基地等ではベーン式ポンプ、キャンドモーターポンプが用いられる場合が多い。

（ホ）ポンプのキャビテーションを防止するためには、有効吸込ヘッドを必要有効吸込へッドより小さくする必要がある。""",イ、ロ,イ、ホ,口、ニ,ハ、二,ハ、ホ,,,,,イ、ホ
"""製造所の電気設備及び計装設備に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

（イ）　無停電電源装置(UPS)の原理は、交流入力を整流部で直流に変換し蓄電池に充電するとともに、インバーター部で一定電圧、一定周波数の交流に変換後出力される。

（ロ）　外部雷保護システムは、雷撃によって生ずる火災、設備破損又は人畜への傷害を防止することを目的とするもので、受雷部システム、引下げ導線システム及び接地システム等から構成される。

（ハ）　遠隔操作弁では、弁体の開閉動作をする可動部にスピードコントローラーを取り付け、電気信号により制御システムに開閉状態を伝えることができる。

（ニ）　超音波式流量計は、流体が腐食性のものやスラリー状のもの及びダスト含有のものの影響は受けないが、温度・密度・粘度の影響は受けやすい。

（ホ）　ディスプレースメント式液面計は、測定範囲が広く、液密度の変化が測定誤差となるが、精度は高い。""",イ、ロ,イ、ホ,口、ニ,ハ、ニ,ハ、ホ,,,,,ハ、ニ
"""都市ガスの熱量調整と燃焼性管理に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

（イ）　燃焼速度は、ガスの組成、空気比等の条件により変化する値であり、どのガスでも組成に応じてある空気比のときに最大となる。この値を最大燃焼速度(MCP)という。

（ロ）　ウォッベ指数(WI)は次式で表される。WI　=　H　/　√s
ここでHはガスの総発熱量(MJ/㎥)、sはガスの密度(kg/㎥)である。

（ハ）　天然ガス(発熱量: 43MJ/㎥)をLPG(発熱量: 100MJ/㎥)で増熱して45MJ/㎥の13Aガスを50000㎥製造する場合の天然ガスの必要量X(㎥)は、次式を解くことによって求められる。
43　×　X　+　100　×　(50000　-　X)　=　45　×　50000

（ニ）　LPGを用いて増熱し熱量を調整する場合、LPGの燃焼速度は比較的速いため、WI-MCP図で、混合ガスの燃焼性の範囲を確認する。

（ホ）液ーガス熱量調整方式により天然ガス(NG)をLPGで熱量調整する場合、NGの温度により運転範囲の制限を受ける場合があり、LPGの混合量を制限するか、NGの予熱が必要になる。""",イ、ハ,イ、ホ,口、二,口、ホ,ハ、二,,,,,口、二
"""都市ガスの付臭に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

（イ）　付臭剤の備えるべき要件の一つとして、一般に存在するにおい(生活臭)とは明瞭に区別でき、 かつ、だれもがガス臭であると認識できるにおいであることがあげられる。

（ロ）　ガスの臭気濃度は、高すぎるとガス器具の点火や消火の際のわずかな未燃ガス等をガスの漏えいと誤認しやすくなる一方、低すぎると漏えいを検知しにくくなることがある。

（ハ）　代表的な付臭剤であるターシャリーブチルメルカプタン(TBM)、ジメチルサルファイド (DMS)、シクロヘキセンは、いずれも構成元素に硫黄(S)を含む。

（二）　付臭剤を注入する方式は、大別して液体注入方式、蒸発方式及び液付臭方式の3種類があるが、液付臭方式では製造するガス流量に応じた付臭剤注入量の制御が不要である。

（ホ）　パネル法による臭気濃度の測定において、4人のパネルの感知希釈倍数がそれぞれ3000倍、1500倍、1500倍、1500倍であったとき、このガスの臭気濃度は1500倍である。""",イ、ロ,イ、ニ,口、ホ,ハ、二,ハ、ホ,,,,,ハ、ホ
"""製造所の停電対策に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

（イ）　買電のみで保安電力を確保するためには、常用線とは系統の異なる予備回線又はそれに相当するもの等保安電力として措置されたものが必要である。

（ロ）　非常用発電設備の定格容量は、負荷の積み上げ合計値と同じでよい。

（ハ）　BOG 圧縮機の停止時間が長くなるとLNG貯槽の内部圧力が上昇するので、内部圧力の監視を強化し、必要に応じて放散処理設備による降圧の準備等を行う。

（ニ）　停電が発生した場合、買電で稼働していたガス製造設備が安全側に移行、停止していること及び保安電源等が正常に作動していることを確認する必要がある。

（ホ）　保安電力は、買電(保安電力として措置されたものに限る)又は自家発電によるものとし、蓄電池を用いてはならない。""",イ、ハ,イ、ホ,ロ、ホ,ハ、二,ハ、ホ,,,,,ロ、ホ
"""製造設備の操業に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

（イ）　ボイルオフガス(BOG)を送出ガスに混入する場合には、熱量調整用LPGの混入量増加等、送出ガスの品質管理に留意する必要がある。

（ロ）　LNG貯槽内のロールオーバー現象の発生を防止するため、貯槽内LNGの水平方向の密度分布を監視することが必要である。

（ハ）　個別設備の稼働調整方式の1つである圧力制御方式は、急激な需要変動に追従できる制御方式である。

（ニ）　ガス製造能力に関係する設備の定期修理計画策定にあたっては、ガス製造計画・製造設備稼働計画を元にして、ピーク時における最大必要能力を確保した定期修理計画を策定する。

（ホ）　製造設備の巡視点検は、保安規程に定める内容等に基づき実施するものとし、目視等の五感に頼らないことが重要である。""",イ、ロ,イ、二,口、ホ,ハ、二,ハ、ホ,,,,,口、ホ
"""製造設備の保全に関する次の記述のうち、いずれも誤っているものの組合せはどれか。

（イ）　溶接部において溶融金属が冷却される際に収縮することにより、圧縮の残留応力が生じる。

（ロ）　部材に形状的な不連続や切り欠きが存在して応力集中が高くなるほど、疲労強度は低下する。

（ハ）　材料表面層の残留応力は引張りの場合は疲労強度の低下、圧縮の場合は上昇の方向へ作用する。

（ニ）　超音波探傷試験(UT)は、検査物の片側だけから検査できるが、割れのような平面欠陥の検出には適さない。

（ホ）　放射線透過試験(RT)は、欠陥の形状をフィルム上に投影された像として見ることができるので、わかりやすい。""",イ、ニ,イ、ホ,ロ、ハ,口、ホ,ハ、ニ,,,,,イ、ニ
"""環境対策及び省エネルギーに関する次の記述のうち、いずれも誤っているものの組合せはどれか。

（イ）　都市ガスの燃料の場合は、燃焼管理を十分に行うことで、ばいじんの発生を大きく抑制することができる。

（ロ）　燃焼排ガスの脱硝法には、酸化剤としてアンモニア、尿素等を用いて、排ガス中のNOxを選択的に窒素に酸化する方法がある。

（ハ）　すべての水域において水素イオン濃度指数(pH)は、常に規制される項目の1つであり、多くの水中生物、農作物にとって望ましい水のpHは、5.8～8.6である。

（ニ）　有機物質を含む生物化学的酸素要求量(BOD)の高い排水の処理には、バクテリア等微生物の力を利用する生物処理方法がある。

（ホ）　電気エネルギーの管理では、力率を0に近づけると省エネルギー効果を上げることができる。""",イ、ハ,イ、ニ,口、ハ,ロ、ホ,二、ホ,,,,,ロ、ホ
A点からB点にガスを供給している低圧導管ABにおいて、 A点の圧力は2.3kPa、B点の圧力は2.2kPaであった。今、AB間の流量を2倍にした場合、A点の圧力を2.3kPaのままとすると、B点の圧力(kPa)として最も近い値はどれか。,2.1,2,1.9,1.8,1.7,,,,,1.9
整圧器に関する次の記述のうち、誤っているものはどれか。,ハウスレギュレーターは、一般に不純物除去装置と圧力上昇防止装置が一体化されている。,レイノルド式整圧器は需要家のガス使用量が減少すると低圧補助ガバナ(パイロット)の開度が減少し、 中間圧力が高くなるため、オキジャリーボール内のダイヤフラムを押し上げ る力が強くなる。,パイロット式整圧器について、最低一次圧力と最高二次圧力の差圧が整圧器の作動最小差圧よりも大きくなるように選定する。,大規模地区で使用される整圧器は、一般に負荷変動が大きいため、特に流量の変化に対する応答の敏速性と安定性の両方の特性が要求される。,フィッシャー式整圧器の二次圧異常上昇の原因として、メインバルブへのダストかみ込みによる締め切り不良が考えられる。,,,,,大規模地区で使用される整圧器は、一般に負荷変動が大きいため、特に流量の変化に対する応答の敏速性と安定性の両方の特性が要求される。
